AC_Doc_ID,Student_Question_Index,Question_ID,Question_ID_Sec,Definition-Score,Content,Pre_Col_Name,POS_sum,Count_Definition-Question,Count_Definition-Answer,Count_Passage,Terms_Definition-Question,Terms_Definition-Answer,Terms_Passage,Count_s_Definition-Question,Count_s_Definition-Answer,Count_s_Passage,Terms_s_Definition-Question,Terms_s_Definition-Answer,Terms_s_Passage,Lemma_Frq_Mean,Lemma_Frq_SD,Lemma_Frq_Max,Lemma_Frq_Min,Passage_Lemma_Frq_Mean,Passage_Lemma_Frq_SD,Passage_Lemma_Frq_Max,Passage_Lemma_Frq_Min,Count_hype_Definition-Question,Count_hype_Definition-Answer,Count_hype_Passage,Terms_hype_Definition-Question,Terms_hype_Definition-Answer,Terms_hype_Passage,Count_hypo_Definition-Question,Count_hypo_Definition-Answer,Count_hypo_Passage,Terms_hypo_Definition-Question,Terms_hypo_Definition-Answer,Terms_hypo_Passage,Cntnt_Bigram,PMI_Bigram_Mean,PMI_Bigram_SD,PMI_Bigram_Max,PMI_Bigram_Min,Cntnt_Trigram,PMI_Trigram_Mean,PMI_Trigram_SD,PMI_Trigram_Max,PMI_Trigram_Min,Sum_Count_Options,Sum_Count_s_Options,Sum_Count_hype_Options,Sum_Count_hypo_Options,Lemma_Count_dk,Lemma_Count_nr,Passage_POS_sum,Std_Count_Passage,Std_Count_s_Passage,Std_Count_hype_Passage,Std_Count_hypo_Passage,Std_POS_sum,Key_Dummy
0,XXXX-QP14001,QP14001,QP14001,,Inventor,Definition-Question,1.0,,0.0,0.0,,,,,0.0,0,,,,70.0,0.0,70.0,70.0,183504.1667,272242.9077,928529.0,4844.0,,0.0,0,,,,,0.0,0,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0,0.0,0.0,0.0833,Definition-Answer
1,XXXX-QP14001,QP14001,QP14001,,A person who creates something new that has never been made before,Definition-Answer,12.0,0.0,,10.0,,,before;create;have;make;never;new;person;something;that;who,0.0,,0,,,,78095.2,113004.7936,339971.0,4844.0,183504.1667,272242.9077,928529.0,4844.0,0.0,,0,,,,0.0,,0,,,,"[('a', 'person'), ('person', 'who'), ('who', 'create'), ('create', 'something'), ('something', 'new'), ('new', 'that'), ('that', 'have'), ('have', 'never'), ('never', 'be'), ('be', 'make'), ('make', 'before')]",3.7746,1.3929,5.9271,1.1563,"[('a', 'person', 'who'), ('person', 'who', 'create'), ('who', 'create', 'something'), ('create', 'something', 'new'), ('something', 'new', 'that'), ('new', 'that', 'have'), ('that', 'have', 'never'), ('have', 'never', 'be'), ('never', 'be', 'make'), ('be', 'make', 'before')]",8.0275,3.2275,10.737,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.8333,0.0,0.0,0.0,1.0,Definition-Answer
2,XXXX-QP14001,QP14001,QP14001,,Inventor,Definition-Question,1.0,,0.0,0.0,,,,,0.0,0,,,,70.0,0.0,70.0,70.0,183504.1667,272242.9077,928529.0,4844.0,,0.0,0,,,,,0.0,0,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0,0.0,0.0,0.0833,Definition-Answer
3,XXXX-QP14001,QP14001,QP14001,,A person who creates something,Definition-Answer,5.0,0.0,,4.0,,,create;person;something;who,0.0,,1,,,make,18373.5,16833.8021,46483.0,4844.0,183504.1667,272242.9077,928529.0,4844.0,0.0,,1,,,make,0.0,,2,,,have;make,"[('a', 'person'), ('person', 'who'), ('who', 'create'), ('create', 'something')]",4.1554,0.5753,4.9382,3.6096,"[('a', 'person', 'who'), ('person', 'who', 'create'), ('who', 'create', 'something')]",5.5601,4.891,9.1979,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.3333,0.0833,0.0833,0.1667,0.4167,Definition-Answer
4,XXXX-QP14001,QP14001,QP14001,,Inventor,Definition-Question,1.0,,0.0,0.0,,,,,0.0,0,,,,70.0,0.0,70.0,70.0,183504.1667,272242.9077,928529.0,4844.0,,0.0,0,,,,,0.0,0,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0,0.0,0.0,0.0833,Definition-Answer
5,XXXX-QP14001,QP14001,QP14001,,a person who invented a particular process or device or who invents things as an occupation.,Definition-Answer,17.0,0.0,,2.0,,,person;who,0.0,,0,,,,17817.1667,24042.5013,74072.0,0.0,183504.1667,272242.9077,928529.0,4844.0,0.0,,0,,,,0.0,,1,,,have,"[('a', 'person'), ('person', 'who'), ('who', 'invent'), ('invent', 'a'), ('a', 'particular'), ('particular', 'process'), ('process', 'or'), ('or', 'device'), ('device', 'or'), ('or', 'who'), ('who', 'invent'), ('invent', 'thing'), ('thing', 'a'), ('a', 'an'), ('an', 'occupation'), ('occupation', '.')]",1.1016,1.9106,4.9382,0.0,"[('a', 'person', 'who'), ('person', 'who', 'invent'), ('who', 'invent', 'a'), ('invent', 'a', 'particular'), ('a', 'particular', 'process'), ('particular', 'process', 'or'), ('process', 'or', 'device'), ('or', 'device', 'or'), ('device', 'or', 'who'), ('or', 'who', 'invent'), ('who', 'invent', 'thing'), ('invent', 'thing', 'a'), ('thing', 'a', 'an'), ('a', 'an', 'occupation'), ('an', 'occupation', '.')]",1.6714,3.4777,9.1979,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.1667,0.0,0.0,0.0833,1.4167,Definition-Answer
6,XXXX-QP14001,QP14001,QP14001,,Inventor,Definition-Question,1.0,,0.0,0.0,,,,,0.0,0,,,,70.0,0.0,70.0,70.0,183504.1667,272242.9077,928529.0,4844.0,,0.0,0,,,,,0.0,0,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0,0.0,0.0,0.0833,Definition-Answer
7,XXXX-QP14001,QP14001,QP14001,,A been before creates has made never new person something that who,Definition-Answer,12.0,0.0,,10.0,,,before;create;have;make;never;new;person;something;that;who,0.0,,0,,,,78095.2,113004.7936,339971.0,4844.0,183504.1667,272242.9077,928529.0,4844.0,0.0,,0,,,,0.0,,0,,,,"[('a', 'be'), ('be', 'before'), ('before', 'create'), ('create', 'have'), ('have', 'make'), ('make', 'never'), ('never', 'new'), ('new', 'person'), ('person', 'something'), ('something', 'that'), ('that', 'who')]",0.4361,0.9734,2.5766,0.0,"[('a', 'be', 'before'), ('be', 'before', 'create'), ('before', 'create', 'have'), ('create', 'have', 'make'), ('have', 'make', 'never'), ('make', 'never', 'new'), ('never', 'new', 'person'), ('new', 'person', 'something'), ('person', 'something', 'that'), ('something', 'that', 'who')]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.8333,0.0,0.0,0.0,1.0,Definition-Answer
8,XXXX-QP14001,QP14001,QP14001,,Inventor,Definition-Question,1.0,,0.0,0.0,,,,,0.0,0,,,,70.0,0.0,70.0,70.0,183504.1667,272242.9077,928529.0,4844.0,,0.0,0,,,,,0.0,0,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0,0.0,0.0,0.0833,Definition-Answer
9,XXXX-QP14001,QP14001,QP14001,,I don't know,Definition-Answer,4.0,0.0,,0.0,,,,0.0,,1,,,make,174294.5,104492.6046,347939.0,81377.0,183504.1667,272242.9077,928529.0,4844.0,0.0,,2,,,create;make,0.0,,2,,,have;make,"[('i', 'do'), ('do', ""n't""), (""n't"", 'know')]",1.7264,1.6721,3.3384,0.0,"[('i', 'do', ""n't""), ('do', ""n't"", 'know')]",4.3514,6.1539,8.7029,0.0,0.0,0.0,0.0,0.0,0,0,12.0,0.0,0.0833,0.1667,0.1667,0.3333,Definition-Answer
